id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,target
94076,0.117,19360,81090,0,0,0,99.14,9,B,Urban,1
64564,0.48,11693,137560,1,0,0,99.55,8,B,Urban,0
46233,0.163,11326,60130,0,0,0,99.63,4,A,Rural,1
61165,1,14610,120100,2,0,0,99.61,3,B,Urban,1
20126,0.035,28120,247950,0,0,0,99.22,15,A,Urban,1
54932,0.211,15701,180120,0,0,0,98.66,8,B,Urban,1
75733,0,14973,197520,1,0,1,99.5,11,A,Rural,0
17189,0.318,17534,270100,1,0,0,99.61,11,C,Urban,1
88981,0.071,21178,215100,0,0,0,99.76,10,A,Rural,1
72732,0.107,18624,210050,0,0,0,99.08,15,C,Rural,1
79777,0.958,10958,107720,0,0,0,98.49,9,B,Urban,1
5900,0,14612,105040,0,0,0,,3,A,Urban,1
79557,0.002,21913,227110,0,0,0,,12,A,Rural,1
89983,0.242,17167,281770,0,0,0,99.77,7,C,Urban,1
50267,0.025,27383,175400,0,0,0,99.57,6,A,Urban,1
56834,0.856,17532,132100,0,0,0,99.23,7,B,Urban,1
64931,0.49,18988,211130,0,0,0,98.94,8,A,Urban,1
82490,0,13885,102150,0,0,0,98.62,7,B,Rural,1
84122,0.783,19718,82130,0,0,0,98.21,7,D,Urban,1
7537,0,22278,536050,0,0,0,99.56,10,C,Rural,1
22776,0.075,17535,347630,0,0,0,99.56,9,D,Urban,1
25800,0.191,17533,162790,0,0,0,99.16,8,D,Urban,1
1749,0.043,17165,159080,0,0,0,99.2,13,D,Rural,1
3335,0.041,12422,141380,0,0,0,99.6,4,A,Rural,1
50706,0.176,15702,120120,0,0,0,98.95,4,A,Urban,1
28643,0.926,17896,200090,0,0,0,99.24,12,B,Rural,1
107601,0,17167,135130,0,0,0,98.74,9,C,Urban,1
103089,0.99,10230,105150,0,0,0,99.19,6,A,Urban,1
51166,0.204,11323,725010,0,0,0,99.89,5,A,Urban,1
96723,0.729,18625,142370,3,1,1,99.36,8,A,Rural,0
49295,0.717,17891,265130,0,0,0,99.22,6,A,Urban,1
71128,0.071,22637,362560,0,0,0,99.46,10,B,Urban,1
112188,0.966,22278,58600,1,0,0,99.1,5,A,Rural,1
87317,0.252,13152,60080,1,0,0,96.74,12,C,Urban,1
69923,0.279,11324,100060,0,0,0,98.66,20,A,Urban,1
39010,0,14246,156690,0,0,0,99.5,6,D,Rural,1
90298,0.061,25927,150030,0,0,0,99.11,11,A,Urban,1
24244,0.623,15709,270140,1,0,0,98.87,11,C,Urban,1
95471,0.021,9496,60070,0,0,0,98.96,11,A,Rural,1
1268,0.042,13876,145120,3,0,0,99.12,19,A,Urban,1
28037,0.089,17528,123030,1,0,0,98.06,8,A,Rural,1
105903,0.12,16069,198130,0,0,0,99.01,17,C,Rural,1
80904,0.587,14245,67780,0,0,1,98.56,5,C,Urban,1
177,0.149,8773,60050,0,0,0,99.62,5,A,Urban,1
95543,0.049,14240,260050,0,0,0,99.37,5,A,Urban,1
67112,0.716,11329,57120,1,0,0,98.35,14,B,Urban,1
110075,0.243,19719,267080,0,0,0,99.48,8,B,Rural,1
31144,0.592,12415,121710,0,0,0,98.9,7,A,Rural,1
31026,0.226,13512,208770,0,0,0,98.77,6,A,Rural,1
36214,0.643,20820,332570,1,0,0,98.4,21,B,Rural,1
105068,0.185,19719,225080,0,0,0,99.45,5,D,Urban,1
75740,0.062,18992,1007650,0,1,0,,6,A,Rural,1
82686,0.492,17893,175110,0,0,0,99.69,6,D,Urban,1
26419,0.255,15341,124560,0,0,0,99.29,7,A,Rural,1
68320,0.367,16798,320000,0,0,0,98.74,10,D,Urban,1
45584,0.371,17891,100060,0,0,0,97.16,21,D,Rural,1
109401,0.093,24100,384130,0,0,0,99.08,9,A,Rural,1
55202,0.132,17525,270110,0,0,0,99.12,7,D,Rural,1
15845,0.826,19718,153930,0,0,0,99.42,6,C,Rural,1
103636,0.758,20817,173600,1,0,0,98.14,20,B,Urban,1
105732,0.919,16800,294050,0,0,0,99.11,11,B,Urban,1
21517,0.143,20819,161300,0,0,0,99.13,26,A,Urban,1
25011,0.111,18986,248810,0,0,0,99.38,21,C,Urban,1
69927,0.979,16802,187050,0,1,1,97.08,9,B,Urban,0
2390,0.002,18622,125130,0,0,0,99.26,15,D,Rural,1
6727,0.547,11686,200150,0,0,0,98.96,14,A,Rural,1
15324,0.718,24098,225040,1,0,0,98.79,6,A,Urban,1
2550,0.366,23369,205130,0,0,0,99.35,12,A,Urban,1
57219,0.97,13879,104320,2,0,0,98.57,7,D,Rural,0
60988,0,16804,45130,0,1,0,99.88,6,A,Rural,0
77237,1,12790,99030,1,0,1,99.61,4,A,Urban,1
39596,0.041,21543,315060,0,0,0,99.12,10,A,Urban,1
64916,0.116,11325,94610,0,0,0,99.81,6,A,Rural,1
88472,0.221,18628,207570,0,0,0,99.38,17,A,Rural,1
93439,0.005,18264,945040,0,0,0,99.13,17,D,Urban,1
84243,1,29210,126380,0,0,0,98.96,8,A,Urban,1
81478,0.434,10955,168030,0,0,0,99.3,29,D,Urban,1
44427,0.702,12425,202790,0,0,0,99.5,9,A,Urban,1
109907,0.194,12785,138610,0,0,3,99.59,5,A,Urban,1
23172,0.058,23731,120070,0,0,0,99.65,11,A,Urban,1
73858,0,19723,331720,1,0,0,99.38,11,D,Rural,1
419,0.215,13513,272540,0,0,0,98.92,17,D,Rural,1
17548,0.094,16068,150150,0,0,0,98.96,5,A,Urban,1
57115,0.003,16805,109620,0,0,0,98.77,17,D,Urban,1
34477,0.545,17529,138150,1,0,0,99.24,8,C,Urban,1
73964,0.462,20812,332570,0,0,0,99.03,21,E,Rural,1
77026,0.542,13518,140100,0,0,0,98.17,11,A,Urban,1
20478,0.232,14243,108510,0,0,0,99.59,6,A,Urban,1
8459,0.676,23371,57090,0,0,0,98.81,9,A,Rural,1
85337,0,10233,165130,0,0,0,99.43,7,A,Rural,1
97326,0.504,14974,99090,1,0,0,98.42,12,C,Urban,0
64066,0,25200,90150,0,0,0,99.82,14,A,Urban,1
30016,0.463,23004,175570,0,0,0,99.26,7,A,Rural,1
29873,0.257,11321,115590,0,0,0,99.1,6,A,Rural,1
51237,0.071,27385,312570,0,0,0,99.41,10,A,Rural,1
74187,0.047,13147,300040,0,0,0,99.12,16,B,Urban,1
86170,0.268,18628,114140,0,0,0,98.66,17,A,Urban,1
51211,0,14246,195090,0,0,0,98.81,6,A,Urban,1
50610,0.019,24829,112610,0,0,0,99.76,14,A,Urban,1
22199,0.668,14250,255120,0,0,0,98.97,10,A,Rural,1
6375,0.771,22635,75040,1,0,0,98.41,8,B,Urban,1
59156,1,14970,163250,0,0,0,99.89,4,C,Urban,1
6926,0.305,17531,512780,0,0,0,98.95,19,D,Rural,1
62530,0.02,23006,102880,0,0,1,99.66,8,A,Urban,0
104358,0.433,25192,39150,2,0,1,95.98,13,A,Urban,1
77605,0,23375,125070,0,0,0,,3,A,Rural,1
104137,1,16800,108140,1,2,1,98.13,4,D,Rural,0
85218,0.023,24099,310100,0,0,0,99.31,11,A,Urban,1
49514,0.755,20086,82610,1,1,1,98.07,7,D,Urban,0
56436,0.272,14249,250060,3,0,0,98.81,15,D,Rural,0
36372,0.057,21540,94300,0,0,0,99.42,5,A,Urban,1
87539,0.396,12425,105090,0,0,0,98.38,7,B,Urban,1
29229,0.062,18257,357560,0,0,0,99.17,6,A,Urban,1
25655,0.011,24462,102140,0,0,0,99.4,4,A,Rural,1
81535,0.022,23373,133790,0,0,0,99.47,6,B,Rural,1
94640,0.115,17896,90110,1,0,1,99.17,11,A,Rural,1
92252,0.103,14970,289720,0,0,0,97.51,14,A,Rural,1
52527,0.023,18621,198070,0,0,0,99.02,11,A,Urban,1
51186,0.872,11323,153480,0,0,0,99.47,12,A,Urban,1
56247,0.092,22642,667700,0,0,0,99.26,15,A,Rural,1
67175,0.628,28117,39360,0,0,0,96.61,11,A,Rural,1
101805,0.016,11691,312570,0,0,0,99.33,34,C,Urban,1
75165,0.026,17528,80230,0,0,0,99.87,11,A,Urban,1
57396,0.166,15702,156150,0,0,0,98.72,15,C,Urban,1
35906,0.466,17164,100100,0,0,0,99.61,8,A,Urban,1
108143,0.009,28846,135090,0,0,0,99.84,13,A,Urban,1
61184,0.468,16440,170050,0,0,0,98.96,15,A,Urban,1
92704,0.587,20812,60030,0,0,0,99.5,5,A,Urban,1
89985,0.969,28475,186110,1,0,0,98.57,20,A,Rural,1
72501,0.933,14614,188050,0,0,1,98.79,12,C,Urban,1
89090,0.025,22271,220090,0,0,0,99.35,12,C,Urban,1
110262,0.013,25556,150060,1,0,0,99.44,19,A,Urban,1
133,0.23,19358,195960,0,0,0,99.02,8,C,Urban,1
91679,0.085,18623,108110,0,0,0,98.35,15,D,Urban,1
62229,1,21911,54550,1,2,1,98.56,7,A,Urban,0
16929,0.47,12057,229250,0,0,0,99.03,22,D,Rural,1
71416,0.15,23375,132080,0,0,0,98.75,13,C,Rural,1
86806,0.964,16074,96300,1,0,0,99.3,8,C,Urban,1
44859,1,15340,78140,1,2,0,99.56,3,D,Urban,0
83300,0.313,18620,46550,0,0,0,95.63,7,B,Urban,0
109726,0.036,24096,30130,0,0,0,99.84,7,A,Rural,1
97972,1,15702,480050,1,0,1,99.15,10,D,Urban,1
18637,0.09,21547,226230,0,0,0,99.43,9,A,Urban,1
79056,0.08,25564,1200070,0,0,0,99.72,6,A,Rural,1
58941,0.77,19358,285080,1,0,0,98.75,15,C,Urban,1
142,0.008,31763,120030,1,0,0,99.05,15,A,Urban,1
25770,0.646,11323,66700,0,0,0,99.19,6,C,Urban,1
60197,0.775,17526,275070,1,0,0,98.63,17,E,Urban,1
46549,0.012,24462,93570,0,0,0,99.56,12,A,Urban,1
88655,0,12784,180110,1,0,0,97.96,16,C,Urban,1
20265,0.968,10593,115140,0,0,0,97.89,11,B,Urban,1
17399,0.353,23731,258550,0,0,0,99.15,15,B,Urban,1
75741,0.088,28847,103080,0,0,0,99.86,6,A,Urban,1
72179,0.454,10591,150090,0,0,1,99.25,8,A,Urban,1
75997,0,29207,105140,0,0,0,99.88,4,A,Urban,1
113808,0.364,12419,63040,1,0,0,97.11,14,C,Rural,1
53123,0.31,23739,86200,0,0,0,95.55,18,A,Urban,1
102224,0.868,13882,150120,0,0,0,97.57,13,A,Rural,1
66635,0.438,14609,75100,0,0,0,98.41,13,D,Urban,1
105867,0.21,23003,250070,0,0,0,95.99,14,A,Rural,1
16300,0.051,17528,275030,3,0,0,99.56,25,D,Urban,1
11591,0.602,21180,222060,0,0,0,99.01,9,B,Rural,1
100624,0.622,23735,320730,0,0,0,99.77,13,A,Urban,1
56819,0.898,16800,330130,4,0,0,98.44,14,C,Urban,1
520,0.076,17526,258680,2,0,1,99.22,18,A,Urban,1
18100,0.078,25561,100100,0,0,0,99.3,9,A,Rural,1
10614,0,10596,45240,0,0,0,99.18,6,A,Rural,1
69834,0.196,17899,164460,0,0,0,99.22,8,B,Urban,1
15484,0.174,23367,225070,0,0,0,98.56,15,A,Urban,1
67019,0,20082,332920,1,0,0,99.06,9,B,Rural,1
83299,0.036,14607,270130,0,0,1,99.39,9,A,Urban,1
94188,0.001,23002,120130,0,0,0,,13,A,Rural,1
24745,0.001,24470,60080,1,0,0,95.95,9,B,Rural,1
72994,0.125,23368,234120,0,0,0,98.96,24,C,Urban,1
10577,0.03,29939,33370,0,0,0,99.37,10,A,Urban,1
1287,0.22,25200,230360,0,0,0,99.66,8,A,Rural,1
102132,0.013,22643,396150,0,0,0,99.37,12,A,Urban,1
65443,0.046,22635,510080,0,0,0,99.35,13,A,Urban,1
76023,0.453,12783,133380,0,0,0,99.36,5,C,Rural,1
99005,0.334,11686,227850,0,0,0,99.66,12,A,Rural,1
72659,0.391,19720,378060,0,0,0,99.56,14,C,Urban,1
70021,0.015,32863,173550,0,0,0,99.78,5,A,Urban,1
13716,1,13155,60040,1,0,1,99.51,4,A,Urban,1
78672,0.057,17532,141780,0,0,0,98.84,10,D,Urban,1
39586,0.05,28481,75030,0,0,0,99.34,8,A,Rural,1
94068,0.985,9860,81570,1,0,0,99.11,6,A,Urban,0
59850,0.214,20818,295440,0,0,0,99.26,7,B,Urban,1
84055,0.033,29578,161970,0,0,0,,7,A,Rural,1
55351,0.685,14972,226600,0,0,0,98.94,8,A,Urban,1
16255,0.59,18257,94900,0,0,0,98.49,10,A,Rural,1
13005,0.509,14615,135110,0,0,0,98.74,10,D,Rural,1
33286,0.182,13151,60030,0,0,0,98.61,9,B,Rural,1
24293,0.81,20455,526540,0,0,0,98.97,9,B,Urban,1
49058,1,25556,24660,2,0,0,99.51,3,A,Rural,1
9830,0.684,20819,257570,0,0,0,99.23,10,B,Urban,1
85016,0,17894,324030,0,0,0,99.25,9,A,Urban,1
105604,0.91,11689,181310,1,0,0,99.68,6,D,Rural,1
84995,0.536,19354,254100,0,0,0,98.93,12,A,Urban,1
38657,0.179,26291,286550,0,0,0,99.37,9,A,Rural,1
62615,0.401,18995,310080,0,0,0,99.21,13,A,Urban,1
40027,1,14609,150060,2,1,1,98.84,9,A,Urban,0
82513,0.092,21183,450080,0,0,0,99.88,11,A,Rural,1
65910,0.82,14973,130050,1,0,0,99.05,6,C,Urban,1
58432,0.243,21547,391700,0,0,0,99.03,13,A,Rural,1
62253,1,13145,96140,0,0,0,97.62,10,A,Rural,1
95257,0.008,19719,150050,0,0,0,98.95,9,A,Rural,1
24222,0.012,16071,135120,0,0,0,99.18,9,A,Urban,1
101401,0.05,16434,240150,0,0,0,99.77,8,B,Urban,1
25533,0.961,11323,252090,0,0,0,99.36,8,A,Urban,1
58615,0.019,17894,112610,0,0,0,99.64,10,A,Rural,1
65122,0.031,28112,120090,0,0,0,99.24,9,A,Urban,1
56754,0.003,16430,167260,0,0,0,98.84,7,A,Urban,1
75314,0.012,23735,225150,0,0,0,99.65,28,A,Urban,1
87838,1,23369,66050,0,0,0,,2,B,Urban,1
111838,0.261,12787,360050,0,0,0,99.07,14,E,Urban,1
76273,0.008,18625,37860,0,0,0,97.78,11,A,Rural,1
98159,0.019,17900,82530,0,0,0,98.98,10,C,Rural,1
13681,1,14245,270030,0,0,0,99.03,10,A,Rural,1
56268,0.139,22276,222110,0,1,0,99.41,18,A,Urban,0
78065,0.577,16432,298620,0,0,0,99.77,6,A,Rural,1
107330,0.097,12786,187580,0,0,0,98.8,18,C,Urban,1
27543,0.03,19358,840130,0,0,0,99.43,8,D,Rural,1
67604,0.484,21176,353600,0,0,0,99.05,13,D,Urban,1
65042,0,14244,237960,0,0,0,,9,D,Rural,1
59807,0.301,14977,169740,0,0,0,99.12,12,D,Rural,1
43390,0.935,13875,267560,1,0,0,98.71,11,A,Urban,1
100455,0.841,20451,199980,3,0,1,99.48,7,D,Rural,1
85220,0.057,21914,348870,0,0,0,99.52,10,A,Rural,1
61257,0.905,10225,96330,0,0,0,97.97,11,A,Rural,0
80751,0.219,14612,45640,1,0,0,94.62,12,B,Rural,0
38727,1,25923,339850,0,0,0,,3,A,Urban,1
56696,0.045,13516,97570,1,0,0,99.14,18,D,Rural,1
73288,0.219,21914,329920,0,0,0,99.1,23,B,Urban,1
68407,0.131,15342,270150,0,0,0,99.41,13,C,Urban,1
35898,0.552,18623,238390,0,0,0,98.93,12,A,Rural,1
74168,0.344,20445,129090,0,0,0,98.22,14,A,Rural,1
110588,0.085,17894,81040,0,0,0,99.51,13,A,Rural,1
3026,0,11323,33410,0,0,0,99.23,5,A,Urban,1
53340,0.716,32856,176580,0,0,1,99.33,14,A,Urban,1
101731,0.061,22276,441060,0,0,0,99.38,14,B,Rural,1
6211,0.024,21179,400780,0,0,0,99.19,10,B,Rural,1
96417,0.269,14975,137500,1,0,0,98.63,16,A,Urban,1
45220,0,13151,184570,0,0,0,97.71,8,A,Urban,1
44390,0.972,12788,60120,0,0,1,99.14,6,A,Urban,0
89054,0,13148,74100,0,2,0,98.18,7,A,Urban,0
63773,0.022,18991,165770,0,0,0,98.94,7,B,Urban,1
20677,0.664,15342,111120,1,0,0,98.12,9,A,Rural,0
20039,0.191,19716,255120,0,0,0,99.36,18,B,Urban,1
94470,0.022,27383,115570,0,0,0,99.36,7,A,Urban,1
68214,0.317,17899,150120,0,0,0,99.56,22,A,Urban,1
100244,0.834,19352,315040,0,0,2,97.63,11,D,Urban,1
99690,0,14608,102030,0,0,0,99.22,6,A,Urban,1
47782,0.081,27025,183150,0,0,0,99.72,12,A,Rural,1
51386,0.158,20812,264060,1,0,0,98.84,25,B,Urban,1
67178,0.048,23731,150070,0,0,0,99.87,9,A,Rural,1
74006,1,8770,57040,0,0,0,,3,B,Urban,1
20799,0.132,15704,360070,2,0,0,98.85,14,C,Rural,1
45517,0.264,14974,225250,0,0,0,99.57,15,D,Rural,1
63394,0.258,27018,291760,0,0,0,98.6,16,B,Rural,1
93411,0.309,20081,263630,0,0,0,99.43,16,A,Rural,1
96298,0.002,29935,150120,0,0,0,,7,A,Urban,1
107671,0.073,18623,105110,0,0,0,99.52,13,C,Urban,1
100116,0.041,23365,87570,0,0,0,98.54,12,A,Rural,1
64768,0.174,21183,321110,0,0,0,99.27,21,B,Urban,1
71122,0.073,23005,275310,0,0,0,99.67,13,A,Urban,1
47376,1,20446,315600,0,0,0,,3,A,Urban,1
42774,0.978,25195,165110,0,0,0,99.41,5,A,Rural,1
69231,0.273,18621,525130,0,0,0,99.86,9,B,Urban,0
53819,0.904,16073,178600,0,0,0,98.57,17,D,Rural,1
49193,0.76,14972,115100,0,0,0,98.38,7,D,Rural,1
42791,0,14607,262530,0,0,0,98.73,6,A,Urban,1
87216,0.085,16801,93510,0,0,0,98.41,10,B,Rural,1
91526,0.029,23734,405130,0,0,0,99.75,6,B,Rural,1
97258,0.048,21550,360050,0,0,0,99.89,6,A,Urban,1
28103,0.229,19359,30060,0,0,0,95.25,6,B,Rural,1
28477,0.186,13154,53160,0,0,0,99.07,8,A,Rural,1
72629,0.489,22637,146000,1,0,0,98.3,12,B,Urban,1
10384,0.202,14243,255110,0,0,0,99.37,4,A,Rural,1
55119,0.046,17163,213190,0,0,0,99.25,16,A,Urban,1
51421,0.007,17890,213120,0,0,0,99.29,19,A,Rural,1
102593,1,10955,76750,0,0,0,98.97,6,B,Rural,1
44779,0,15702,152630,0,0,0,98.86,14,B,Rural,1
45728,0.037,22637,84960,0,0,0,99.58,12,A,Urban,1
68823,0.19,17897,430100,0,0,0,99.49,7,C,Rural,1
110766,0.449,15702,300150,1,0,0,99.37,14,B,Urban,1
68703,0.356,9867,51130,0,0,0,99.87,4,B,Urban,1
41925,0.101,14605,210120,0,0,0,99.13,16,C,Rural,1
105714,0.102,23010,422520,0,0,0,99.62,11,B,Urban,1
108501,0.297,21182,168090,0,0,0,,11,A,Urban,1
68292,1,16438,78050,1,0,0,99.62,3,A,Urban,1
25179,0.028,21547,153130,0,0,0,97.77,24,A,Urban,1
106853,0.441,17165,257620,0,0,0,99.2,13,B,Urban,1
41451,0.485,17535,133130,0,0,0,98.17,18,A,Rural,0
113528,0.23,26650,102620,0,0,0,99.43,11,A,Urban,1
101303,0.001,26288,60100,0,0,0,,5,A,Urban,1
111502,0.008,22276,256880,0,0,0,99.21,8,A,Urban,1
53268,0.91,16798,142650,0,0,0,99.04,6,C,Rural,1
6613,0.773,22637,75820,1,0,0,98.23,8,A,Rural,1
30467,1,18627,36040,0,1,0,99.74,5,A,Urban,0
105268,0.337,21543,299900,0,0,0,99.75,6,A,Rural,1
107557,0.081,14249,111450,0,0,0,98.85,7,C,Rural,1
4831,0.119,13516,157570,0,0,0,98.64,13,A,Rural,1
53779,0.822,20813,1200120,0,0,0,99.16,16,D,Rural,1
19546,0.016,20812,50040,1,0,0,97.45,23,C,Urban,1
13959,0.009,26293,200120,0,0,0,99.63,11,B,Urban,1
46288,0.082,14977,375040,0,0,0,99.02,14,C,Urban,1
1412,0.034,13518,195100,0,0,0,99.76,9,B,Urban,1
22332,0.082,20082,355120,1,0,0,99.36,9,B,Urban,1
102516,0.076,27384,150100,0,0,0,97.89,13,A,Urban,1
75153,0,15345,192120,0,0,0,98.78,5,D,Urban,1
1822,0.057,28475,96060,0,0,0,99.57,4,A,Urban,1
77454,0.305,12058,360140,0,0,0,98.52,14,A,Rural,1
48840,0.769,14615,162570,2,0,0,99.1,25,B,Urban,1
97572,0.005,23368,302810,0,0,0,,4,A,Urban,1
19749,0.112,13515,120150,0,0,0,98.22,6,B,Urban,1
35633,0.434,8771,103560,0,0,1,99.73,5,A,Rural,1
58806,1,23365,450070,0,0,0,99.4,9,A,Rural,1
26431,0.125,18264,210040,0,0,0,99.19,8,C,Rural,1
102839,0.047,24830,412570,0,0,0,99.79,9,A,Rural,1
26130,0.06,18261,240080,0,0,0,99.49,13,C,Urban,1
42507,0.004,24104,36060,0,0,1,99.34,9,A,Rural,1
51145,0,22643,315130,0,0,0,99.56,8,A,Rural,1
33385,0.009,15335,245980,0,0,0,98.86,12,D,Urban,1
57286,0.606,9500,28000,0,0,0,99.6,6,A,Urban,1
111814,0.196,14615,150070,0,0,0,99.18,12,C,Urban,1
100780,0.755,19723,170440,0,0,0,99.17,12,A,Urban,1
62138,0.004,18620,420030,1,0,0,99.56,9,D,Rural,1
93499,0.08,17895,198550,0,0,0,98.85,18,A,Urban,1
30602,0.302,21540,54930,0,0,0,97.34,11,B,Urban,1
41813,0.819,14974,176850,2,0,0,99.53,10,C,Urban,1
10496,0,22636,59510,0,0,0,98.34,12,A,Urban,1
34546,0.562,13884,442070,0,0,0,99.22,14,A,Urban,1
28075,0.331,9132,24700,0,0,0,97.88,7,A,Urban,1
56392,0.012,25925,198110,0,0,0,99.45,10,A,Urban,1
113701,0.94,15706,276290,4,0,0,98.78,16,B,Urban,1
35310,0.012,21179,192960,0,0,0,99.64,8,A,Urban,1
26311,0.297,22270,35130,0,0,0,95.6,17,A,Urban,1
85117,0.286,20089,184110,0,0,0,98.89,20,A,Rural,1
79127,0,17162,330040,0,0,0,99.86,4,C,Rural,1
56161,0.324,32134,82280,0,0,0,98.84,9,A,Rural,1
87849,0.172,20817,153690,0,0,0,98.82,15,B,Urban,1
86048,0.839,13880,96060,0,0,0,99.21,7,C,Urban,1
11324,0.956,9136,47530,1,1,0,99.48,5,B,Urban,1
33479,0.889,15707,197550,0,0,0,98.98,11,C,Urban,1
63466,0.046,17897,120080,0,0,0,99.21,16,B,Rural,1
92047,0.75,22642,216510,0,0,0,98.61,18,C,Urban,1
98505,0,16799,159030,1,0,0,99.21,7,C,Rural,1
41319,0.035,16434,48470,0,0,0,98.54,11,A,Rural,1
9855,0.022,17895,183130,0,0,0,99.29,9,B,Rural,1
92813,0.154,18255,360140,0,0,0,99.5,12,D,Urban,1
6235,0.059,14608,235030,0,0,0,99.13,11,A,Urban,1
23160,0.163,14241,500090,0,0,0,99.55,15,A,Rural,1
95566,0.098,25200,750110,0,0,0,99.82,12,B,Urban,1
70224,0.108,25921,108460,0,0,0,98.76,9,A,Urban,1
69154,0.012,13515,450090,0,0,0,99.02,9,B,Urban,1
112042,0.024,26291,193600,0,0,0,99.89,9,B,Urban,1
7454,0.916,11322,90140,0,0,0,98.92,10,B,Urban,1
24471,0.515,18261,875140,0,0,0,99.38,14,C,Rural,1
74758,0.021,9865,90060,0,0,0,99.69,8,A,Urban,1
66477,1,26657,495120,0,0,0,99.43,6,C,Rural,1
13146,0.108,21544,219350,0,0,0,99.04,11,C,Urban,1
113467,0.559,17162,45090,0,0,0,97.99,10,B,Urban,1
17265,0.013,23009,170930,0,0,0,99.88,6,A,Urban,1
2093,0.833,12056,76380,0,1,0,99.35,6,D,Urban,1
32680,0.098,23375,263720,0,0,0,99.05,10,B,Urban,1
95281,0.245,23000,454830,0,0,0,98.92,13,A,Urban,1
16937,0.146,27388,222490,0,0,0,99.87,6,A,Urban,1
110224,0.228,25199,95130,0,0,0,98.39,10,A,Urban,1
53722,0,15701,69050,0,0,0,,10,B,Urban,1
109157,0.277,23000,37260,0,0,0,,10,A,Rural,1
69696,0.882,29572,125130,0,0,0,99.35,9,B,Urban,1
39327,0.012,26294,145130,0,0,0,98.35,15,A,Rural,1
112224,0.037,18627,73110,0,0,0,99.86,8,A,Rural,1
113679,0.038,24835,222060,0,0,0,99.66,19,A,Rural,1
104222,0.079,29936,150120,0,0,0,99.49,5,A,Urban,1
67628,0.266,20080,302630,0,0,0,99.51,5,B,Rural,1
40888,0.052,24463,156130,0,0,0,99.14,10,C,Rural,1
30244,0.008,20452,225030,0,0,0,96.6,14,A,Rural,1
50765,0.933,13146,65160,0,0,0,96.68,16,D,Urban,1
34651,0.054,18993,163110,0,0,0,98.98,14,B,Rural,1
5880,0.023,27754,117090,0,0,0,97.88,15,A,Urban,1
33855,0.309,13518,114150,0,0,1,97.72,10,B,Urban,1
18800,0.794,18985,97220,3,3,0,98.16,10,D,Urban,0
73091,0.027,28480,1200060,0,0,0,,8,A,Urban,1
27585,0.546,16439,165130,0,0,0,98.12,9,B,Rural,1
68772,0.937,23372,84030,0,0,0,98.31,12,A,Urban,1
68448,0,19355,92630,0,0,0,99.82,5,A,Rural,0
47957,0.327,22271,102710,0,0,0,99.53,9,A,Urban,0
84943,0.062,10594,92360,0,0,0,99.23,10,C,Rural,1
27793,0.053,23000,141850,0,0,0,99.59,6,B,Urban,1
52819,0.007,15340,208570,0,0,0,99.06,11,A,Urban,1
44332,0.204,19351,174350,0,0,0,97.93,12,B,Rural,1
71399,0.251,17527,120060,0,0,0,99.42,9,B,Urban,1
82417,0.354,12057,154440,2,0,0,98.85,10,A,Urban,1
87878,0.477,11687,54040,0,0,0,99.23,7,B,Rural,1
92534,0.305,20813,121880,0,0,0,99.11,8,D,Rural,1
7114,0.001,18265,114110,1,0,1,98.86,10,A,Rural,1
21406,0.019,22645,157560,0,0,0,99.52,14,A,Rural,1
39717,0.002,26654,222120,0,0,0,99.19,17,B,Urban,1
81142,0.818,20811,349530,0,0,0,99.07,17,B,Urban,1
86681,0.357,12421,139930,0,0,0,99.19,9,C,Urban,1
82000,0.232,13518,60060,0,0,0,98.88,11,A,Rural,0
43045,0.348,17170,285100,0,0,0,99.64,11,A,Urban,1
76013,0.581,19719,120090,0,0,0,99.33,7,C,Urban,1
82888,0.924,17890,175050,0,0,0,97.53,13,A,Urban,1
66865,0.001,36145,195100,0,0,0,,17,A,Urban,0
96670,0.397,15339,231470,0,0,0,98.99,16,D,Rural,0
99319,0.158,15337,161150,0,0,0,98.27,10,A,Urban,1
111310,0.198,10965,206690,0,0,0,99.83,9,A,Urban,1
92838,0.193,22277,122600,0,0,0,99.01,11,B,Urban,1
86114,0.542,13150,160400,0,0,0,98.92,10,D,Rural,1
80688,0.111,19355,97200,0,0,0,99.02,14,B,Urban,1
88254,0.143,15345,319660,0,0,0,99.15,19,B,Rural,1
15065,0.261,13882,229070,1,0,0,98.89,13,C,Urban,1
76358,0.927,17896,100120,1,0,2,98.56,5,A,Rural,0
3340,0.008,23734,648100,0,0,0,,11,C,Rural,1
20394,0.036,24826,150060,0,0,0,99.28,9,A,Urban,1
6543,0.148,23366,270110,0,0,0,,12,C,Urban,1
466,0.762,20455,247680,2,0,0,98.5,12,D,Urban,1
85954,0.382,20818,283740,0,0,0,98.53,14,A,Urban,1
84972,0.471,15704,267580,1,0,0,98.08,12,C,Rural,0
101133,0.506,24467,180080,0,0,0,98.96,15,A,Rural,1
7067,0.048,28475,135550,0,0,0,99.29,18,A,Rural,1
66120,0.695,16071,239600,0,0,0,98.66,12,C,Rural,1
31769,1,13514,95050,,,,99.88,2,A,Urban,0
16251,0.761,21544,147580,1,0,0,97.14,18,D,Rural,0
